date,title,speaker,audio,youtube,transcript,html
2024-02-25,I Don't Know What to Call It,,2024-02-25.mp3,fc-OZmeI7FQ,,
2024-02-18,"Get Some Sleep, Eat an Orange, Hope for Everything",,2024-02-18.mp3,tjrArr0X2HE,,
2024-02-04,A Theology of Humility,Li Kynvi,2024-02-04.mp3,vczfGJZenxQ,,
2024-01-28,Return to Love like a North Star,,2024-01-28.mp3,XvqGL4YYcB4,,
2024-01-21,Can We Stay Longer?,,2024-01-21.mp3,hv6lt0CUB_w,,
2023-12-10,Making Space for Wonder,Li Kynvi,2023-12-10.mp3,H1vILyxAonE,,
2023-12-03,Practicing Wonder,,2023-12-03.mp3,uVzRTIAzCno,,
2023-11-26,Words from Young Adults,"May Brackett, Grace Flanagan, and Marisa Benson",2023-11-26.mp3,S4yr9mJQJa4,,
2023-11-12,Partakers,Arthur Bembury and Angelia Jefferson,2023-11-12.mp3,MAyngI9tv8A,,
2023-10-29,Lessons for Future Ancestors,Matt Meyer,2023-10-29.mp3,Gh8LpiaIFNc,,
2023-10-22,out into the gap,Li Kynvi,2023-10-22.mp3,nddrc8lSPhQ,,
2023-10-15,Holding Out a Dented Cup,,2023-10-15.mp3,Bq1IMt4hzaw,,
2023-10-08,Stories of Bright & Broken Hearts,,2023-10-08.mp3,yrUxMjad1_U,,
2023-10-01,"What Could This Be, if It Isn't a Prayer",,2023-10-01.mp3,JfFYbSODQy8,,
2023-09-24,The Hardest Words,,2023-09-24.mp3,N-t0TIHDaiE,,
2023-09-17,"Starting Over, Waking Up",,2023-09-17.mp3,aPcvs9AGa6Q,,
2023-06-18,,,,nUb_6A6_zA4,,
2023-06-11,,,,rEtWuEtIIg0,,
2023-06-04,,,,z3D2Es-8py8,,
2023-05-28,,,,iew4Ktq7q5Q,,
2023-05-21,,,,Y3qLQuPLktE,,
2023-05-14,,,,bHwH9CoY1iM,,
2023-05-07,,,,W6dkHYN0DqE,,
2023-04-30,,,,1kCnn8gfWe0,,
2023-04-23,,,,OPUeLdXMSNg,,
2023-04-16,,,,Ns_sjDbJ0Rg,,
2023-04-09,,,,VypUnhCEmRo,,
2023-04-02,,,,wzXl5UKFANI,,
2023-03-26,,,,u7tACqwN9yE,,
2023-03-19,,,,dMvSuQlAREA,,
2023-03-12,,,,WGbuwu2ZF44,,
2023-03-05,,,,x7XM_rEmlJc,,
2023-02-26,,,,So9YAtYUX6g,,
2023-02-19,,,,PPNu42Sps1w,,
2023-02-12,,,,2pdaynjJ748,,
2023-02-05,,,,6vSHY2JgF0k,,
2023-01-29,,,,5EQO3McOnHI,,
2023-01-22,,,,u5Tge78n3V8,,
2023-01-15,,,,enfu2CzJ6YY,,
2023-01-08,,,,aYLEBcDpgtw,,
2022-12-24,,,,JclbefMLhFw,,
2022-12-18,,,,UA4a5-P5DWE,,
2022-12-11,,,,7HkdCpTEM20,,
2022-12-04,,,,7bryixBH7rQ,,
2022-11-27,,,,6QOgfeeoqdo,,
2022-11-20,,,,2sMqzIqWPIs,,
2022-11-13,,,,U_Zs_36YUiM,,
2022-11-06,,,,wLCDGzgp_xQ,,
2022-10-30,,,,cJ0S0nME30A,,
2022-10-23,,,,MMxxuMGjZj0,,
2022-10-16,,,,QilKRwAV9SU,,
2022-10-09,,,,wm2ySwsgL_E,,
2022-10-02,,,,HU5A6tfZY0Y,,
2022-09-25,,,,O8b27q22QSM,,
2022-09-18,,,,QPfLUz45cZE,,
2022-09-11,,,,l9tX6sp6F3U,,
2022-06-12,,,,p87bAKCSJYg,,
2022-06-05,,,,0hI7Hyx1VQ8,,
2022-05-29,,,,Hi7vDFsJvoY,,
2022-05-22,,,,D3OIOGVEFaI,,
2022-05-15,,,,UAZMiKkKUH0,,
2022-05-08,,,,q0uDTAXA31A,,
2022-05-01,,,,SUZf7AyNmWo,,
2022-04-24,,,,us22ZMfQh6A,,
2022-04-17,,,,uXlx3bsSZc8,,
2022-04-10,,,,DOsg1PHvweI,,
2022-04-03,,,,bsZV7aLK-YM,,
2022-03-27,,,,hT3rZw_zNpY,,
2022-03-20,,,,WGprr_8IVtU,,
2022-03-13,,,,49MA15NMNGE,,
2022-03-06,,,,weNkmuYHUts,,
2022-02-27,,,,NlIqFF_ao30,,
2022-02-20,,,,I8rVxMjAqS0,,
2022-02-13,,,,hOM_1xx-Ym4,,
2022-02-06,,,,t7TtK56uyek,,
2022-01-30,,,,Qq_Y7j6UR4Y,,
2022-01-23,,,,jNSHWnmc71s,,
2022-01-16,,,,YmOLMbafEWY,,
2022-01-09,,,,SOp66aK6zwA,,
2022-01-02,,,,1C1Gwl7NBis,,
2021-12-26,,,,dXhVIQZSl28,,
2021-12-24,,,,5wgU4IPjzBg,,
2021-12-12,,,,bGthcq-Z6Fw,,
2021-12-05,,,,SukQHR9ZYCE,,
2021-11-28,,,,KcKWNRFBUWs,,
2021-11-21,,,,Bckr06cI10Q,,
2021-11-14,,,,ByoWfjZ9IqA,,
2021-10-31,,,,fRgEhDLOMhw,,
2021-10-24,,,,TM_Iu_eR7L0,,
2021-10-10,,,,M1GVR-s1pWY,,
2021-09-26,,,,E9ayeW8usZ8,,
2021-08-25,,,,wAVLZf1zZRY,,
2021-06-20,,,,OJOI0khrskA,,
2021-06-13,Bridging,,,sCbiwTAoC5Q,,
2021-06-06,Emerging,,,52t5lnaaA4w,,
2021-05-30,Memorializing the Fallen,,2021-05-30.mp3,Dbpo0imhEDg,,
2021-05-23,Stories Thin and Thick,,2021-05-23.mp3,p6S3bXk3mWs,,
2021-05-09,How to Hold the Deeper Stories,,2021-05-09.mp3,lhQzmcsGpm4,,
2021-05-02,,,,,,"We’re All a Little Broken and We All Belong (<a href=""https://uugroton.github.io/sermons/2021-05-02.mp3"" rel=""noopener"" target=""_blank"">audio</a>; <a href=""https://youtu.be/luZz6a9ZRNY"" rel=""noopener"" target=""_blank"">video: the Singing Ministers</a>; <a href=""https://youtu.be/eu3_Kbqauoo"" rel=""noopener"" target=""_blank"">YouTube</a>)"
2021-04-25,,,,,,"Becoming (<a href=""https://uugroton.github.io/sermons/2021-04-25.mp3"" rel=""noopener"" target=""_blank"">audio, Li Kynvi</a>; <a href=""https://youtu.be/4EOZ1AowjqY"" rel=""noopener"" target=""_blank"">video: How to meditate</a>, Li Kynvi; <a href=""https://youtu.be/p5s4HL0Sxf0"" rel=""noopener"" target=""_blank"">YouTube</a>)"
2021-04-18,"Never Finished, Always Enough",,2021-04-18.mp3,czOiC5cxULg,,
2021-04-04,Easter: We Rise,,2021-04-04-li.mp3=audio – Li Kynvi;2021-04-04-elea.mp3=audio –Elea Kemler,1cUeYUUyDsM,,
2021-03-21,What Will We Carry Forward?,,2021-03-21.mp3,06ktn-mwPPI,,
2021-03-07,The Light of Change,,2021-03-07.mp3,wwY4Mr6j1PE,,
2021-02-28,Beginning with the End in Mind,,2021-02-28.mp3,9JwnHErsZug,,
2021-02-07,"Beautiful, Broken, and Real",,2021-02-07.mp3,NAH58r9OXOU,,
2021-01-31,"Both, Between, and Neither (Li Kynvi)",,2021-01-31.mp3,9mh2OuzFqgk,,
